date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:14	43754/43754	---M-Z	200	added ('OK')	text/html	etag:%22aaea-54644f0143187-gzip%22	http://120.72.91.53/themeforest/event_planning/index.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/index.html	(from )
15:14:14	285/285	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Jan%202017%2014:14:15%20GMT	http://120.72.91.53/robots.txt		(from )
15:14:14	5430/5430	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221536-544cd6b04b317%22	http://120.72.91.53/themeforest/event_planning/images/Favicon.ico	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/Favicon.ico	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:15	155408/155408	---M-Z	200	added ('OK')	text/css	etag:%2225f10-544cd6b071477-gzip%22	http://120.72.91.53/themeforest/event_planning/css/bootstrap.css	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/css/bootstrap.css	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:15	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-544cd6b071477-gzip%22	http://120.72.91.53/themeforest/event_planning/css/owl.carousel.css	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/css/owl.carousel.css	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:16	7382/7382	---M-Z	200	added ('OK')	text/css	etag:%221cd6-544cd6b076297-gzip%22	http://120.72.91.53/themeforest/event_planning/css/styles.css	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/css/styles.css	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:16	8723/8723	---M-Z	200	added ('OK')	text/css	etag:%222213-544cd6b0704d7-gzip%22	http://120.72.91.53/themeforest/event_planning/css/datepicker.css	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/css/datepicker.css	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:16	152645/152645	---M-Z	200	added ('OK')	text/css	etag:%2225445-546cfb021c987-gzip%22	http://120.72.91.53/themeforest/event_planning/css/docs.css	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/css/docs.css	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:16	21043/21043	---M-Z	200	added ('OK')	text/html	etag:%225233-5464507cb3940-gzip%22	http://120.72.91.53/themeforest/event_planning/register.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/register.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:17	2751/2751	---M--	200	added ('OK')	image/png	etag:%22abf-544cd6b054f57%22	http://120.72.91.53/themeforest/event_planning/images/logo.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/logo.png	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:17	29453/29453	---M-Z	200	added ('OK')	text/html	etag:%22730d-5464509c49c12-gzip%22	http://120.72.91.53/themeforest/event_planning/aboutUs.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/aboutUs.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:17	91132/91132	---M-Z	200	added ('OK')	text/html	etag:%22163fc-54645086c10f2-gzip%22	http://120.72.91.53/themeforest/event_planning/search-result.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/search-result.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:18	118051/118051	---M-Z	200	added ('OK')	text/html	etag:%221cd23-5464508156571-gzip%22	http://120.72.91.53/themeforest/event_planning/search_detail.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/search_detail.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:18	31901/31901	---M-Z	200	added ('OK')	text/html	etag:%227c9d-5464503b93f10-gzip%22	http://120.72.91.53/themeforest/event_planning/blog.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/blog.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:18	36477/36477	---M-Z	200	added ('OK')	text/html	etag:%228e7d-5464504116190-gzip%22	http://120.72.91.53/themeforest/event_planning/blog_details.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/blog_details.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:19	34529/34529	---M-Z	200	added ('OK')	text/html	etag:%2286e1-5464507153b51-gzip%22	http://120.72.91.53/themeforest/event_planning/news-details.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/news-details.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:19	23158/23158	---M-Z	200	added ('OK')	text/html	etag:%225a76-5464504700bf0-gzip%22	http://120.72.91.53/themeforest/event_planning/booking_step1.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/booking_step1.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:19	27633/27633	---M-Z	200	added ('OK')	text/html	etag:%226bf1-5464504cc4550-gzip%22	http://120.72.91.53/themeforest/event_planning/booking_step2.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/booking_step2.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:20	23854/23854	---M-Z	200	added ('OK')	text/html	etag:%225d2e-546450524a650-gzip%22	http://120.72.91.53/themeforest/event_planning/booking_step3.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/booking_step3.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:20	42724/42724	---M-Z	200	added ('OK')	text/html	etag:%22a6e4-5464505968a90-gzip%22	http://120.72.91.53/themeforest/event_planning/career.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/career.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:20	33133/33133	---M-Z	200	added ('OK')	text/html	etag:%22816d-5464506bc5d51-gzip%22	http://120.72.91.53/themeforest/event_planning/mapView.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/mapView.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:21	57121/57121	---M-Z	200	added ('OK')	text/html	etag:%22df21-54645076f1351-gzip%22	http://120.72.91.53/themeforest/event_planning/privacy_policy.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/privacy_policy.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:21	22541/22541	---M-Z	200	added ('OK')	text/html	etag:%22580d-5464502a1472f-gzip%22	http://120.72.91.53/themeforest/event_planning/account_profile.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/account_profile.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:21	22119/22119	---M-Z	200	added ('OK')	text/html	etag:%225667-54644f86d762b-gzip%22	http://120.72.91.53/themeforest/event_planning/account_booking.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/account_booking.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:22	22516/22516	---M-Z	200	added ('OK')	text/html	etag:%2257f4-546450309482f-gzip%22	http://120.72.91.53/themeforest/event_planning/account_password.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/account_password.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:22	27859/27859	---M-Z	200	added ('OK')	text/html	etag:%226cd3-5464508c471f2-gzip%22	http://120.72.91.53/themeforest/event_planning/team.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/team.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:23	81988/81988	---M-Z	200	added ('OK')	text/html	etag:%2214044-54645096e8cd2-gzip%22	http://120.72.91.53/themeforest/event_planning/wishlist.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/wishlist.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:23	27475/27475	---M-Z	200	added ('OK')	text/html	etag:%226b53-546450666abd1-gzip%22	http://120.72.91.53/themeforest/event_planning/faq.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/faq.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:23	25045/25045	---M-Z	200	added ('OK')	text/html	etag:%2261d5-546450608ebd1-gzip%22	http://120.72.91.53/themeforest/event_planning/contact.html	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/contact.html	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:14:23	1863/1863	---M--	200	added ('OK')	image/png	etag:%22747-544cd6b013877%22	http://120.72.91.53/themeforest/event_planning/images/close-icon.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/close-icon.png	(from http://120.72.91.53/themeforest/event_planning/index.html)
